bbl,address,borough,unitsres,rs_units,yearbuilt,bldgclass,ownername,wow_link
3051020063,2101 ALBEMARLE ROAD,BK,94,0,1939,D1,2101 ALBERMARLE INC,https://whoownswhat.justfix.org/bbl/3051020063
3024310036,151 SOUTH 4 STREET,BK,25,0,1906,C6,149 SOUTH 4TH STREET HOUSING DEV,https://whoownswhat.justfix.org/bbl/3024310036
1005830024,40 MORTON STREET,MN,15,0,1887,C4,"SKYJAM HOLDING, LLC",https://whoownswhat.justfix.org/bbl/1005830024
1014990010,11 EAST 87 STREET,MN,85,0,1954,D4,11 EAST 87TH ST TENANTS CORP,https://whoownswhat.justfix.org/bbl/1014990010
1005670007,33 5 AVENUE,MN,60,0,1923,D4,33 FIFTH AVE OWNERS,https://whoownswhat.justfix.org/bbl/1005670007
1019030038,102 WEST 119 STREET,MN,16,0,1901,D1,NYC HOUSING PRESERVATION AND DEVELOPMENT,https://whoownswhat.justfix.org/bbl/1019030038
2031270026,931 EAST 178 STREET,BX,30,0,1993,C9,TREMONT-VYSE III HDFC,https://whoownswhat.justfix.org/bbl/2031270026
1017560056,2090 MADISON AVENUE,MN,24,0,1920,C6,MADISON AVENUE HDFC,https://whoownswhat.justfix.org/bbl/1017560056
1022430332,48 PARK TERRACE EAST,MN,70,0,1941,D4,PARK TERRACE OWNERS CORP,https://whoownswhat.justfix.org/bbl/1022430332
1008660067,12 EAST 37 STREET,MN,19,0,1910,C7,"12 EAST 37, LLC",https://whoownswhat.justfix.org/bbl/1008660067
1013930043,66 EAST 79 STREET,MN,20,0,1926,D4,66 E 79TH ST CORP,https://whoownswhat.justfix.org/bbl/1013930043
4097670005,88-55 161 STREET,QN,39,0,1931,N9,H & G HOTEL CORP,https://whoownswhat.justfix.org/bbl/4097670005
1007610009,347 WEST 37 STREET,MN,20,0,1920,N9,FOUNTAIN HOUSE HDFCINC,https://whoownswhat.justfix.org/bbl/1007610009
1018610008,153 WEST 106 STREET,MN,15,0,1910,C6,151-53-55 WEST 106 ST,https://whoownswhat.justfix.org/bbl/1018610008
1001430001,47 HUDSON STREET,MN,36,0,1881,D4,DUANE PARK LOFTS INC,https://whoownswhat.justfix.org/bbl/1001430001
3052200064,1055 OCEAN AVENUE,BK,38,0,1931,C1,2007 FOSTER LLC,https://whoownswhat.justfix.org/bbl/3052200064
3068880006,8835 23 AVENUE,BK,59,0,1927,D4,8835 23 AVE TEN CORP,https://whoownswhat.justfix.org/bbl/3068880006
4014430051,34-43 82 STREET,QN,11,0,1916,C6,162 25TH ST JACKSON HGTS INC,https://whoownswhat.justfix.org/bbl/4014430051
1008860073,126 EAST 31 STREET,MN,11,0,1915,D5,MARYLU LLC,https://whoownswhat.justfix.org/bbl/1008860073
1021680063,325 WADSWORTH AVENUE,MN,24,0,1920,C1,325 WADSWORTH DE LLC,https://whoownswhat.justfix.org/bbl/1021680063
3052570035,310 WINDSOR PLACE,BK,21,0,1914,C6,310 WINDSOR APT CORP,https://whoownswhat.justfix.org/bbl/3052570035
3067430079,1317 EAST 14 STREET,BK,53,0,1926,C1,1317 ELMVIEW GARDENS LLC,https://whoownswhat.justfix.org/bbl/3067430079
1010460013,339 WEST 55 STREET,MN,72,0,1925,D4,345 WEST 55 TH STREET TENANTS CORP,https://whoownswhat.justfix.org/bbl/1010460013
1002670037,371 MADISON STREET,MN,117,0,1908,D9,MADISON ST (371) RLTY CP,https://whoownswhat.justfix.org/bbl/1002670037
3050480094,253 PARKSIDE AVENUE,BK,16,0,1931,C1,253-259 PARKSIDE REALTY LLC,https://whoownswhat.justfix.org/bbl/3050480094
3056230012,1314 46 STREET,BK,34,0,1935,D7,BORO PARK PORTFOLIO OWNER LLC,https://whoownswhat.justfix.org/bbl/3056230012
3055600020,1718 66 STREET,BK,27,0,1931,C1,BLUE BELL REALTY LLC,https://whoownswhat.justfix.org/bbl/3055600020
1015300040,216 EAST 85 STREET,MN,15,0,1910,C7,"PIPE, GLASS AND OIL, LLC",https://whoownswhat.justfix.org/bbl/1015300040
1014210001,1131 3 AVENUE,MN,256,0,1961,D4,20166 TENANTS CORP,https://whoownswhat.justfix.org/bbl/1014210001
3036790001,73 JUNIUS STREET,BK,204,0,1928,N2,JUNIUS-LIBERTY DEVELOPMENT LLC,https://whoownswhat.justfix.org/bbl/3036790001
1016040001,1170 5 AVENUE,MN,60,0,1926,D4,UNAVAILABLE OWNER,https://whoownswhat.justfix.org/bbl/1016040001
2028440043,1466 TOWNSEND AVENUE,BX,60,0,1940,D1,"FINKELSTEIN, NACHUM/TRUSTEE OF",https://whoownswhat.justfix.org/bbl/2028440043
4163400050,1 ROCKAWAY POINT BLVD,QN,411,0,1938,A8,BREEZY POINT CO-OP,https://whoownswhat.justfix.org/bbl/4163400050
3018510063,25 MAC DONOUGH STREET,BK,19,0,1900,C1,GILMER HOLDING CORP.,https://whoownswhat.justfix.org/bbl/3018510063
1005900011,277 BLEECKER STREET,MN,20,0,1901,C6,BLEECKER STREET TENANTS CORP,https://whoownswhat.justfix.org/bbl/1005900011
3053920042,478 EAST 9 STREET,BK,17,0,1916,C6,KENSINGTON GARDENS CORP,https://whoownswhat.justfix.org/bbl/3053920042
3011000027,424 13 STREET,BK,20,0,1891,C6,TOVA GARDENS HOSUDING CORP.,https://whoownswhat.justfix.org/bbl/3011000027
